<EVENT_HISTORY>,,
0100,"<<自局>> [状態変化] リンクアップ／リンクダウン"
0200,"<<自局>> [状態変化] バトンパス状態"
0300,"<<自局>> [状態変化] データリンク状態"
0400,"<<自局>> [指示受信] データリンク起動／停止"
0500,"<<自局>> [指示送信] データリンク起動／停止"
0600,"<<自局>> [指示受信] 一時エラー無効局設定／設定解除"
0700,"<<自局>> [指示送信] 一時エラー無効局設定／設定解除"
0800,"<<自局>> [指示受信] 予約局設定一時解除／有効"
0900,"<<自局>> [指示送信] 予約局設定一時解除／有効"
0A00,"<<自局>> [指示受信] ネットワーク経由での自局局番設定"
0B00,"<<自局>> [指示送信] ネットワーク経由での他局局番設定"
0C00,"<<自局>> [状態変化] パラメータ変更"
0D00,"<<自局：管理CPU>> [状態変化] RUN状態"
0E00,"<<自局>> [異常発生] 受信フレーム異常"
0F00,"<<自局>> [異常発生] ユニットエラー発生"
1000,"<<自局：管理CPU>> [異常発生] 軽度異常／中・重度異常"
8100,"<<他局>> [状態変化] バトンパス状態"
8200,"<<他局>> [状態変化] データリンク状態"
8300,"<<他局>> [状態変化] 一時エラー無効局設定状態"
8400,"<<他局>> [状態変化] 予約局指定状態"
8500,"<<他局：管理CPU>> [状態変化] RUN状態"
8600,"<<他局>> [異常発生] 受信フレーム異常"
8700,"<<他局：管理CPU>> [異常発生] 軽度異常／中・重度異常"
8800,"<<他局>> [異常発生] パラメータ異常"
8900,"<<他局>> [異常発生] マスタ局重複／局番重複"
8A00,"<<他局>> [状態変化] ループバック機能使用時の経路切替"
0000,"<<自局>> 無効なイベント履歴データ"
</EVENT_HISTORY>,,
